M/V,Day,Views by Day (millions),Total Views (millions),Album
I CAN'T STOP ME,1,18.9,18.9,Eyes wide open
I CAN'T STOP ME,2,20.4,39.3,Eyes wide open
I CAN'T STOP ME,3,10.9,50.2,Eyes wide open
I CAN'T STOP ME,4,9.4,59.6,Eyes wide open
I CAN'T STOP ME,5,7.6,67.2,Eyes wide open
I CAN'T STOP ME,6,6.1,73.3,Eyes wide open
I CAN'T STOP ME,7,3.7,77,Eyes wide open
MORE & MORE,1,19.1,19.1,MORE & MORE
MORE & MORE,2,18.9,38,MORE & MORE
MORE & MORE,3,15.2,53.2,MORE & MORE
MORE & MORE,4,7.3,60.5,MORE & MORE
MORE & MORE,5,4.9,65.4,MORE & MORE
MORE & MORE,6,5.4,70.8,MORE & MORE
MORE & MORE,7,4.5,75.3,MORE & MORE
