Date,City,Country,Latitude,Longitude
"May 25, 2019",Seoul,South Korea,37.51916,127.127514
"May 26, 2019",Seoul,South Korea,37.51916,127.127514
"June 15, 2019",Bangkok,Thailand,13.913,100.5478
"June 29, 2019",Pasay,Philippines,14.531944,120.983611
"July 13, 2019",Singapore,Singapore,1.300694,103.874222
"July 17, 2019",Los Angeles,United States,33.958333,-118.341667
"July 19, 2019",Mexico City,Mexico,19.405278,-99.099722
"July 21, 2019",Newark,United States,40.733611,-74.171111
"July 23, 2019",Chicago,United States,41.853611,-87.621389
"August 17, 2019",Kuala Lumpur,Malaysia,3.054667,101.691167
"October 23, 2019",Sapporo,Japan,42.999444,141.347344
"October 27, 2019",Chiba,Japan,35.648333,140.034722
"October 29, 2019",Chiba,Japan,35.648333,140.034722
"October 30, 2019",Chiba,Japan,35.648333,140.034722
"November 6, 2019",Osaka,Japan,34.689444,135.529722
"November 7, 2019",Osaka,Japan,34.689444,135.529722
"November 16, 2019",Miyagi,Japan,38.337566,140.952938
"November 17, 2019",Miyagi,Japan,38.337566,140.952938
"November 29, 2019",Aichi,Japan,35.048558,136.844845
"November 30, 2019",Aichi,Japan,35.048558,136.844845
"December 1, 2019",Aichi,Japan,35.048558,136.844845
"February 11, 2020",Fukuoka,Japan,33.603998,130.403857
"February 12, 2020",Fukuoka,Japan,33.603998,130.403857
"February 22, 2020",Shizuoka,Japan,34.745236,137.968723
"February 23, 2020",Shizuoka,Japan,34.745236,137.968723
"March 7, 2020",Seoul,South Korea,37.51916,127.127514
"March 8, 2020",Seoul,South Korea,37.51916,127.127514
"April 15, 2020",Tokyo,Japan,35.705658,139.751914
"April 16, 2020",Tokyo,Japan,35.705658,139.751914
